feature,importance
fea_sales_roll_6,661.0
fea_sales_roll_12,330.0
fea_average_price_roll_6,230.0
fea_num_items_per_dept_per_store_roll_6,184.0
fea_num_items_per_dept_per_store_roll_12,178.0
fea_mean_wdsp_roll_6,168.0
fea_count_price_updates_roll_6,152.0
fea_average_price_roll_12,137.0
fea_store_id_encoded,133.0
fea_month_sin,130.0
fea_mean_temprerature_roll_6,111.0
fea_count_price_updates_roll_12,97.0
fea_mean_wdsp_roll_12,94.0
fea_mean_sndp_roll_6,90.0
fea_mean_temprerature_roll_12,86.0
fea_is_event_1,80.0
fea_mean_sndp_roll_12,77.0
fea_mean_dewp_roll_6,64.0
fea_mean_visib_roll_12,63.0
fea_mean_visib_roll_6,63.0
fea_is_national_event,62.0
fea_mean_dewp_roll_12,61.0
fea_is_weekend,61.0
fea_mean_thunder_roll_12,52.0
fea_mean_fog_roll_6,51.0
fea_mean_thunder_roll_6,50.0
fea_mean_snow_ice_pellets_roll_6,48.0
fea_mean_prcp_roll_6,45.0
fea_mean_snow_ice_pellets_roll_12,45.0
fea_cat_id_encoded,41.0
fea_dept_id_encoded,38.0
fea_mean_rain_drizzle_roll_6,37.0
fea_mean_rain_drizzle_roll_12,36.0
fea_mean_prcp_roll_12,32.0
fea_mean_tornado_funnel_cloud_roll_12,30.0
fea_mean_tornado_funnel_cloud_roll_6,28.0
fea_mean_fog_roll_12,27.0
fea_is_cultural_event,25.0
fea_is_sporting_event,25.0
fea_is_religious_event,23.0
fea_state_id_encoded,18.0
fea_is_event_2,7.0
