,ctx_item_id,arima_orer,seasonal_order,aic,arima_order_p,arima_order_d,arima_order_q,seasonal_order_p,seasonal_order_d,seasonal_order_q,seasonal_order_m
793,HOUSEHOLD_1_007,"(3, 0, 0)","(0, 0, 0, 12)",493.73872390154617,3.0,0.0,0.0,0.0,0.0,0.0,12.0
794,HOUSEHOLD_1_016,"(5, 1, 3)","(1, 0, 0, 12)",502.95655538175,5.0,1.0,3.0,1.0,0.0,0.0,12.0
795,HOUSEHOLD_1_102,"(3, 0, 1)","(0, 0, 0, 12)",170.7918134845237,3.0,0.0,1.0,0.0,0.0,0.0,12.0
796,HOUSEHOLD_1_130,"(3, 1, 0)","(0, 0, 0, 12)",275.47251905655537,3.0,1.0,0.0,0.0,0.0,0.0,12.0
797,HOUSEHOLD_1_140,"(2, 0, 0)","(0, 0, 0, 12)",477.9966896698923,2.0,0.0,0.0,0.0,0.0,0.0,12.0
798,HOUSEHOLD_1_142,"(3, 0, 0)","(0, 0, 0, 12)",296.1256312534323,3.0,0.0,0.0,0.0,0.0,0.0,12.0
799,HOUSEHOLD_1_149,"(2, 0, 2)","(1, 0, 0, 12)",479.15217594098283,2.0,0.0,2.0,1.0,0.0,0.0,12.0
800,HOUSEHOLD_1_194,"(3, 0, 1)","(0, 0, 1, 12)",332.9778277948169,3.0,0.0,1.0,0.0,0.0,1.0,12.0
801,HOUSEHOLD_1_213,"(4, 0, 0)","(0, 1, 0, 12)",12.0,4.0,0.0,0.0,0.0,1.0,0.0,12.0
802,HOUSEHOLD_1_241,"(5, 0, 0)","(1, 0, 0, 12)",331.75009882340396,5.0,0.0,0.0,1.0,0.0,0.0,12.0
803,HOUSEHOLD_1_259,"(3, 1, 1)","(0, 0, 0, 12)",460.59190068895276,3.0,1.0,1.0,0.0,0.0,0.0,12.0
804,HOUSEHOLD_1_284,"(0, 1, 0)","(0, 0, 0, 12)",227.7229792154973,0.0,1.0,0.0,0.0,0.0,0.0,12.0
805,HOUSEHOLD_1_301,"(1, 1, 0)","(0, 0, 0, 12)",346.9417670439217,1.0,1.0,0.0,0.0,0.0,0.0,12.0
806,HOUSEHOLD_1_310,"(5, 0, 0)","(0, 0, 0, 12)",553.3956448578405,5.0,0.0,0.0,0.0,0.0,0.0,12.0
807,HOUSEHOLD_1_358,"(5, 0, 0)","(0, 0, 0, 12)",340.37560820686826,5.0,0.0,0.0,0.0,0.0,0.0,12.0
808,HOUSEHOLD_1_369,"(2, 0, 0)","(0, 0, 0, 12)",398.5503616012109,2.0,0.0,0.0,0.0,0.0,0.0,12.0
809,HOUSEHOLD_1_478,"(5, 0, 0)","(0, 0, 0, 12)",458.05259152165297,5.0,0.0,0.0,0.0,0.0,0.0,12.0
810,HOUSEHOLD_1_541,"(3, 0, 0)","(1, 0, 0, 12)",541.5600543961601,3.0,0.0,0.0,1.0,0.0,0.0,12.0
811,HOUSEHOLD_2_200,"(2, 0, 2)","(1, 0, 1, 12)",457.97597246324744,2.0,0.0,2.0,1.0,0.0,1.0,12.0
812,HOUSEHOLD_2_312,,,,,,,,,,
813,HOUSEHOLD_2_401,"(3, 0, 2)","(0, 0, 0, 12)",279.0432056617773,3.0,0.0,2.0,0.0,0.0,0.0,12.0
814,HOUSEHOLD_2_440,"(0, 1, 4)","(0, 0, 2, 12)",464.7885396816755,0.0,1.0,4.0,0.0,0.0,2.0,12.0
815,HOUSEHOLD_2_465,"(5, 0, 1)","(0, 0, 2, 12)",442.0960501786,5.0,0.0,1.0,0.0,0.0,2.0,12.0
816,FOODS_1_024,"(3, 0, 0)","(2, 0, 0, 12)",528.4227301886069,3.0,0.0,0.0,2.0,0.0,0.0,12.0
817,FOODS_1_027,"(0, 1, 3)","(0, 0, 0, 12)",401.75912918825014,0.0,1.0,3.0,0.0,0.0,0.0,12.0
818,FOODS_1_061,"(1, 0, 2)","(0, 0, 0, 12)",522.6164258553247,1.0,0.0,2.0,0.0,0.0,0.0,12.0
819,FOODS_1_063,"(1, 1, 0)","(0, 0, 0, 12)",440.89023140123385,1.0,1.0,0.0,0.0,0.0,0.0,12.0
820,FOODS_1_066,"(1, 0, 0)","(0, 0, 0, 12)",522.4520770838894,1.0,0.0,0.0,0.0,0.0,0.0,12.0
821,FOODS_1_140,"(5, 0, 0)","(0, 0, 0, 12)",467.1849906406112,5.0,0.0,0.0,0.0,0.0,0.0,12.0
822,FOODS_1_154,"(1, 1, 3)","(0, 0, 0, 12)",603.0827174183989,1.0,1.0,3.0,0.0,0.0,0.0,12.0
823,FOODS_1_177,"(2, 0, 3)","(0, 0, 0, 12)",463.7852769077983,2.0,0.0,3.0,0.0,0.0,0.0,12.0
824,FOODS_1_197,"(1, 1, 0)","(0, 0, 0, 12)",464.9945332553627,1.0,1.0,0.0,0.0,0.0,0.0,12.0
825,FOODS_2_141,"(0, 1, 0)","(0, 0, 0, 12)",482.70956246667856,0.0,1.0,0.0,0.0,0.0,0.0,12.0
826,FOODS_2_175,"(1, 1, 0)","(0, 0, 0, 12)",400.8291721971963,1.0,1.0,0.0,0.0,0.0,0.0,12.0
827,FOODS_2_189,"(5, 0, 0)","(0, 0, 0, 12)",517.8149639670921,5.0,0.0,0.0,0.0,0.0,0.0,12.0
828,FOODS_2_232,"(5, 0, 0)","(0, 0, 1, 12)",550.2674280467538,5.0,0.0,0.0,0.0,0.0,1.0,12.0
829,FOODS_2_274,"(1, 0, 2)","(0, 0, 0, 12)",518.4078995005398,1.0,0.0,2.0,0.0,0.0,0.0,12.0
830,FOODS_2_282,"(3, 0, 0)","(0, 0, 0, 12)",502.0958451958636,3.0,0.0,0.0,0.0,0.0,0.0,12.0
831,FOODS_2_306,"(1, 1, 2)","(0, 0, 0, 12)",430.59326231352924,1.0,1.0,2.0,0.0,0.0,0.0,12.0
