feature,importance
fea_sales_roll_6,607.0
fea_sales_roll_12,588.0
fea_month_sin,454.0
fea_store_id_encoded,311.0
fea_dept_id_encoded,118.0
fea_state_id_encoded,90.0
fea_cat_id_encoded,80.0
